,cylinders,displ,make,year,fuelType
1197,6.0,3.5,Eagle,1994,Regular
1200,6.0,3.8,Lincoln,1994,Regular
1203,8.0,4.6,Lincoln,1994,Regular
1205,6.0,3.5,Mercedes-Benz,1994,Diesel
1209,6.0,3.8,Oldsmobile,1994,Regular
1212,6.0,3.8,Pontiac,1994,Regular
1214,6.0,3.8,Pontiac,1994,Premium
1260,4.0,2.4,Eagle,1994,Regular
1283,4.0,2.4,Plymouth,1994,Regular
1302,4.0,2.0,Isuzu,1985,Regular
1304,6.0,4.3,Chevrolet,1994,Premium
1305,6.0,4.3,Chevrolet,1994,Regular
1308,4.0,2.4,Nissan,1994,Premium
1310,6.0,3.0,Nissan,1994,Regular
1312,4.0,2.2,GMC,1994,Regular
1313,4.0,2.1,Jeep,1985,Diesel
1315,6.0,4.3,GMC,1994,Premium
1316,6.0,4.3,GMC,1994,Regular
1319,4.0,2.3,Isuzu,1994,Regular
1321,4.0,2.6,Isuzu,1994,Regular
1323,4.0,2.3,Mitsubishi,1994,Regular
1330,8.0,5.0,Chevrolet,1994,Regular
1332,8.0,5.7,Chevrolet,1994,Regular
1337,8.0,6.5,Chevrolet,1994,Diesel
1353,6.0,3.9,Dodge,1994,Regular
1355,8.0,5.2,Dodge,1994,Regular
1362,8.0,5.9,Dodge,1994,Regular
1367,6.0,4.9,Ford,1994,Regular
1372,8.0,5.8,Ford,1994,Regular
1384,6.0,4.0,Ford,1994,Regular
1390,8.0,5.0,GMC,1994,Regular
1393,8.0,5.7,GMC,1994,Regular
1396,8.0,6.5,GMC,1994,Diesel
1410,4.0,2.3,Mazda,1994,Regular
1412,6.0,3.0,Mazda,1994,Regular
1415,6.0,4.0,Mazda,1994,Regular
1417,4.0,2.7,Toyota,1994,Regular
1420,4.0,2.4,Toyota,1994,Regular
1424,6.0,4.2,Jeep,1985,Regular
1469,8.0,5.9,Jeep,1985,Regular
1480,4.0,2.6,Mitsubishi,1985,Regular
1508,6.0,3.1,Isuzu,1994,Regular
